ProductID;CodOnline;Pret Rovision fara TVA;Pret Rovision cu TVA;Pret SillyCode;Profi;Nume;Descriere;Brand;Categorie Principala;Categorie Secundara;Status;Imagine;Imagini Secundare;Imagini
70301;2,01801E+11;113,57;139,6911;153,3195;13,6284;Cablu date UTP CCA cat5 0.4 mm rola 305 m pentru retele,supraveghere,internet 8 fire;"<h2>Cablu UTP CCA 0.4 mm CAT 5 rola 305 m pentru retele, supraveghere, internet</h2>
Cablul UTP CAT 5 furnizor Brothers-Y unul din liderii mondiali in retelistica cu peste 20 ani experienta productie este denumit si cablu de retea, ethernet, are ca destinatie principala transferul de curenti slabi, impulsuri de date, semnal video, date internet, cu o precizie foarte mare datorita separatorului de plastic pozitionat pe mijlocul cablului care reduce interferentele ce pot aparea.

Produsul este destinat  aplicatiilor locale de interior, pe trasee singulare, dedicate, trasee telefonice, sisteme supraveghere, alarme,retele, cabluri patch de conectare a echipamentelor la reteaua locala.
<div class=pb-center-column col-xs-12 col-sm-12 col-md-5>
<div id=short_description_block>
<div id=short_description_content class=rte align_justify>
<ul>
 	<li>Cablu de retea UTP CAT5 rola de 305 metri.</li>
 	<li>Cablul are in compozitie aluminiu cuprat solid</li>
 	<li>Invelis dublu PVC calitate Brothers</li>
 	<li>Cutie 305 M</li>
 	<li>Culoare gri</li>
 	<li>Rezistenta inclusiv in exterior</li>
 	<li>Duce semnalul fara interferente pana la 100 m</li>
 	<li>Cablu  de retea UTP CAT5  CCA  4*2*0.4mm</li>
 	<li>Acest model de cablu  are urmatoarele certificari: ISO/IEC11801 EN50173, CE</li>
</ul>
</div>
</div>
</div>
<div class=pb-right-column col-xs-12 col-sm-12 col-md-5>
<div class=box-info-product>
<div class=content_prices clearfix>
<div class=price><a href=https://rovision.ro/categorie-produs/accesorii-montaj-rovision/cablu-utp-si-ftp/>AICI</a> gasiti si alte modele de cablu UTP.</div>
</div>
</div>
</div>";Rovision;Accesorii Montaj CCTV;Cablu utp si ftp;instock;https://rovision.ro/wp-content/uploads/2021/05/25577_cablu-utp-cat-6-30-cupru-05-mm-rola-305-m-pentru-retelesupraveghereinternet.png;https://rovision.ro/wp-content/uploads/2021/05/25578_cablu-utp-cat-6-30-cupru-05-mm-rola-305-m-pentru-retelesupraveghereinternet-1.jpg,https://rovision.ro/wp-content/uploads/2021/05/25899_cablu-electric-plat-alb-2x075mm-myyup-100mrola.jpg,https://rovision.ro/wp-content/uploads/2021/05/25900_cablu-retea-gembird-utp-cat-6-cca-rola-100m-gri-175279.jpeg;https://rovision.ro/wp-content/uploads/2021/05/25577_cablu-utp-cat-6-30-cupru-05-mm-rola-305-m-pentru-retelesupraveghereinternet.png,https://rovision.ro/wp-content/uploads/2021/05/25578_cablu-utp-cat-6-30-cupru-05-mm-rola-305-m-pentru-retelesupraveghereinternet-1.jpg,https://rovision.ro/wp-content/uploads/2021/05/25899_cablu-electric-plat-alb-2x075mm-myyup-100mrola.jpg,https://rovision.ro/wp-content/uploads/2021/05/25900_cablu-retea-gembird-utp-cat-6-cca-rola-100m-gri-175279.jpeg
70309;201801013047;427,86;526,2678;577,611;51,3432;Cablu CAT5 FTP cu sufa CUPRU SOLID 305m;"<h2>Cablu CAT5 FTP cu sufa cupru solid 305m</h2>
Cablu CAT5 FTP cu sufa cupru solid 305m
<ul>
 	<li>FTP CU SUFA CAT 5E HIGH QUALITY 99.99% CUPRU SOLID 4X2X0.5 ecranat cu folie de AL, invelis exterior PE negru 0,92 mm, protectie la UV+PET+invelis dublu 6mm+sarma otel 1.2 mm PVC, cutie 305 M culoare negru ISO/IEC11801 EN50173, CE&amp;RoHS tambur 305 m, greutate 18 kg</li>
</ul>
<a href=https://rovision.ro/categorie-produs/accesorii-montaj-rovision/cablu-utp-si-ftp/>AICI</a> gasesti si alte cabluri FTP.";Rovision;Accesorii Montaj CCTV;Cablu utp si ftp;instock;https://rovision.ro/wp-content/uploads/2021/05/25881_cablu-cat5-ftp-cu-sufa-cupru-solid-1.png;https://rovision.ro/wp-content/uploads/2021/05/25882_cablu-cat5-ftp-cu-sufa-cupru-solid-0-scaled.jpg,https://rovision.ro/wp-content/uploads/2021/05/25883_cablu-cat5-ftp-cu-sufa-cupru-solid-2.png;https://rovision.ro/wp-content/uploads/2021/05/25881_cablu-cat5-ftp-cu-sufa-cupru-solid-1.png,https://rovision.ro/wp-content/uploads/2021/05/25882_cablu-cat5-ftp-cu-sufa-cupru-solid-0-scaled.jpg,https://rovision.ro/wp-content/uploads/2021/05/25883_cablu-cat5-ftp-cu-sufa-cupru-solid-2.png
70326;201801011094;277,86;341,7678;375,111;33,3432;Cablu UTP CAT5e cupru 100% 0.45mm rola 305 metri;"<h2>Cablu UTP CAT5e cupru 100% 0.45mm rola 305 metri</h2>
<ul>
 	<li>CUPRU 100%</li>
 	<li>Cablu UTP ROVISION 4*2*0.45mm cuprat</li>
 	<li>Invelis cablu: PVC</li>
 	<li>Dimensiune: 305m/cutia</li>
 	<li>Culoare gri</li>
 	<li>UTP : Foiled Twisted Pair (Cablu cu perechi rasucite in folie)</li>
</ul>
Cablul UTP este un cablu UTP in care conductorii sunt inveliti intr-o folie exterioara de ecranare in scopul protejarii impotriva interferentelor externe.

Folia exterioara are, de asemenea, rolul de conductor de impamantare.

Este compus din 8 conductori, care formeaza 4 perechi constructive.

Fiecare pereche are cite o culoare standardizata, pentru o identificare mai usoara:<span class=rvts1> portocaliu, verde, albastru, maro</span>.";Rovision;Accesorii Montaj CCTV;Cablu utp si ftp;instock;https://rovision.ro/wp-content/uploads/2021/05/25904_cablu-utp-cat5-cupru-100-045mm-rola-305-metri-rovision-1.jpg;https://rovision.ro/wp-content/uploads/2021/05/25905_cablu-utp-cat5-cupru-100-045mm-rola-305-metri-rovision-0.jpg;https://rovision.ro/wp-content/uploads/2021/05/25904_cablu-utp-cat5-cupru-100-045mm-rola-305-metri-rovision-1.jpg,https://rovision.ro/wp-content/uploads/2021/05/25905_cablu-utp-cat5-cupru-100-045mm-rola-305-metri-rovision-0.jpg
70328;2,01801E+11;77,86;95,7678;105,111;9,3432;Cablu RG59 coaxial cu alimentare 2x0.5 mm rola 100 m;"<h2>®Cablu coaxial alimentare <a href=https://rovision.ro/produs/cablu-rg59-coaxial-cu-alimentare-2x0-5-mm-rola-100-m/>RG 59</a> 2×0.5 mm rola 100 m</h2>
<ul>
 	<li>Cablu coaxial alimentare RG 59 HIGH QUALITY</li>
 	<li>Cu 2 cabluri alimentare 0.5 mm CCS  FPE invelis aluminiu,</li>
 	<li>2 cabluri cu invelis PVC,</li>
 	<li>PE rola 100 M</li>
 	<li>Culoare negru</li>
 	<li>Impedanta 75 ohmi</li>
 	<li>ISO/IEC11801 EN50173, CE</li>
</ul>";Rovision;Accesorii Montaj CCTV;Cablu coaxial;instock;https://rovision.ro/wp-content/uploads/2021/05/25536_cablu-rg59-coaxial-cu-alimentare-2x075-mm-rola-100-m-1.jpg;https://rovision.ro/wp-content/uploads/2021/05/25906_cablu-coaxial.jpg,https://rovision.ro/wp-content/uploads/2021/07/70461_25537_cablu-rg59-coaxial-cu-alimentare-2x075-mm-rola-100-m-0.jpg;https://rovision.ro/wp-content/uploads/2021/05/25536_cablu-rg59-coaxial-cu-alimentare-2x075-mm-rola-100-m-1.jpg,https://rovision.ro/wp-content/uploads/2021/05/25906_cablu-coaxial.jpg,https://rovision.ro/wp-content/uploads/2021/07/70461_25537_cablu-rg59-coaxial-cu-alimentare-2x075-mm-rola-100-m-0.jpg
70368;201904000001;106,43;130,9089;143,6805;12,7716;Pachet complet accesorii montaj 4 camere supraveghere hd 1 MP;"<h1>Pachet complet accesorii montaj 4 camere supraveghere HD 1 MP</h1>
Pachet complet accesorii montaj contine:
<ul>
 	<li>4 x Sursa de alimentare 1A / 12V</li>
 	<li>4 x Cablu camere supraveghere sertizat 20 m</li>
</ul>
<ol>
 	<li><a href=https://www.cameresupraveghereieftine.ro/surse-alimentare/89-sursa-alimentare-camera-supraveghere-1a-12v-201801013100><strong>Sursa alimentare camera supraveghere 1A 12V</strong></a></li>
</ol>
<ul>
 	<li>Tensiune de intrare: 90-240 AC, 50-60Hz</li>
 	<li>Tensiune de iesire: 1A</li>
 	<li>Lungime cablu: 100CM</li>
 	<li>Protectie la suprasarcina, supratensiune, scurt-circuit</li>
 	<li>DC Joint: 5.5*2.1mm</li>
 	<li>Output Voltage: DC 12V Output Current: 1.0A</li>
 	<li>DC Output joint: 5.5*2.1mm</li>
 	<li>DC Line: 100cm</li>
 	<li>Range of Output Current: 0-3A</li>
 	<li>Output Voltage Tolerance: -1%</li>
 	<li>Ripple and Noise:80mVP</li>
 	<li>Voltage Regulation:81%</li>
</ul>
2. <a href=https://rovision.ro/produs/cablu-supraveghere-sertizat-20-m/>Cablu sertizat 20 metri</a> pentru camere de supraveghere cu conectori.
<ul>
 	<li>BNC+DC</li>
 	<li>alimentare +semnal video</li>
 	<li>2 DC Joint (Female and Male): 5.5*2.1mm</li>
 	<li>pentru camere supraveghere</li>
 	<li>grosime 4mm cupru</li>
</ul>
&nbsp;";Rovision;Accesorii Montaj CCTV;Cablu sertizat si mufat;instock;https://rovision.ro/wp-content/uploads/2019/06/pachet-complet-accesorii-montaj-4-camere-supraveghere-hd-1-mp-0.jpg;;https://rovision.ro/wp-content/uploads/2019/06/pachet-complet-accesorii-montaj-4-camere-supraveghere-hd-1-mp-0.jpg
70376;201801013049;18;22,14;24,3;2,16;Sursa alimentare profesionala YDS 12V 5A comutatie stabilizata carcasa metal;"<h1>Sursa alimentare profesionala YDS 12V 5A comutatie stabilizata carcasa metal</h1>
<ul>
 	<li>YDSPS060-1200500 -Sursa de alimentare industriala in cutie de tabla perforata 12V 5A</li>
 	<li>Material carcasa : metal(tabla perforata) / Culoare : argintiu</li>
 	<li>Led indicator tensiune iesire</li>
 	<li>Tensiune AC de intrare : 100V-240 V / 50/60 Hz;Max Input Voltage Range 90-270V AC</li>
 	<li>Tensiune DC de iesire : 12 V (2 x iesiri) DC</li>
 	<li>Semireglabil ajustare tensiune iesire : 10.5-14.5 V DC</li>
 	<li>Curent maxim DC de iesire : 5 A</li>
 	<li>Protectie la scurtcircuit, suprasarcina, supratensiune</li>
 	<li>Dimensiune : 110*78*38mm</li>
 	<li>Greutate : 160 g (cutia ambalaj sursa)</li>
</ul>";Rovision;Accesorii Montaj CCTV;Surse alimentare;instock;https://rovision.ro/wp-content/uploads/2021/05/25912_sursa-alimentare-profesionala-yds-12v-5a-comutatie-stabilizata-carcasa-metal-0.jpg;;https://rovision.ro/wp-content/uploads/2021/05/25912_sursa-alimentare-profesionala-yds-12v-5a-comutatie-stabilizata-carcasa-metal-0.jpg
70378;201801013046;15,64;19,2372;22,77;3,5328;Cablu sertizat 20m BNC+DC, alimentare si semnal video;"<h2>Cablu sertizat <a href=https://rovision.ro/produs/cablu-supraveghere-sertizat-20-m/>20 metri</a> <a href=https://www.cameresupraveghereieftine.ro/cablu-camere-supraveghere-coaxial-alimentare-utp/44-cablu-supraveghere-sertizat-20-m-201801013046>pentru camere</a> de supraveghere</h2>
Cablu sertizat 20 metri pentru camere de supraveghere cu conectori.
<ul>
 	<li>BNC+DC</li>
 	<li>alimentare +semnal video</li>
 	<li>2 DC Joint (Female and Male): 5.5*2.1mm</li>
 	<li>pentru camere supraveghere</li>
 	<li>grosime 4mm cupru</li>
</ul>";Rovision;Accesorii Montaj CCTV;Cablu sertizat si mufat;instock;https://rovision.ro/wp-content/uploads/2019/06/Cablu-20m.gif;https://rovision.ro/wp-content/uploads/2021/05/25913_5b69f1d9b245f_20180807102409.jpg,https://rovision.ro/wp-content/uploads/2021/05/25914_PNIACCTV50M_1_1.jpg,https://rovision.ro/wp-content/uploads/2021/05/44756_532447.png;https://rovision.ro/wp-content/uploads/2019/06/Cablu-20m.gif,https://rovision.ro/wp-content/uploads/2021/05/25913_5b69f1d9b245f_20180807102409.jpg,https://rovision.ro/wp-content/uploads/2021/05/25914_PNIACCTV50M_1_1.jpg,https://rovision.ro/wp-content/uploads/2021/05/44756_532447.png
70380;201801013040;24,93;30,6639;33,6555;2,9916;Cablu sertizat 30 metri pentru camere de supraveghere;"<h2>Cablu sertizat 30 metri pentru camere de supraveghere</h2>
Cablu sertizat 30 metri pentru camere de supraveghere cu conectori.
<ul>
 	<li>BNC+DC</li>
 	<li>alimentare +semnal video</li>
 	<li>2 DC Joint (Female and Male): 5.5*2.1mm</li>
 	<li>pentru camere supraveghere</li>
 	<li>grosime 4mm cupru</li>
</ul>
<a href=https://rovision.ro/categorie-produs/accesorii-montaj-rovision/cablu-sertizat-si-mufat/>Vezi alte cabluri sertizate aici</a>";Rovision;Accesorii Montaj CCTV;Cablu sertizat si mufat;instock;https://rovision.ro/wp-content/uploads/2021/05/47182_1364589.png;https://rovision.ro/wp-content/uploads/2021/07/70497_47469_5b69f1d9b245f_20180807102409-1.jpg,https://rovision.ro/wp-content/uploads/2021/07/70498_47470_pniacctv50m_1_1-1.jpg;https://rovision.ro/wp-content/uploads/2021/05/47182_1364589.png,https://rovision.ro/wp-content/uploads/2021/07/70497_47469_5b69f1d9b245f_20180807102409-1.jpg,https://rovision.ro/wp-content/uploads/2021/07/70498_47470_pniacctv50m_1_1-1.jpg
78586;201903000140;414,33;517,9125;580,062;62,1495;Sistem supraveghere video profesional exterior 2 camere 2MP AHD  IR30m cu DVR DAHUA 4 canale, acesorii, live internet;"<h2>Sistem supraveghere video profesional exterior 2 camere 2MP AHD</h2>
Sistem supraveghere video profesional exterior 2 camere contine:
<ul>
 	<li>2X Camera supraveghere exterior AHD 1080P full hd 30m IR carcasa metalica</li>
 	<li>DVR Pentabrid Cooper Dahua XVR1A04 , 4 canale 1080N , HDCVI, AHD, TVI, CVBS, IP, 1080p lite ( se mai pot adauga 2 camere )</li>
 	<li>2x Cablu supraveghere sertizat 10 m si 20m</li>
 	<li>Alimentator 12V 2A cu fir,sursa alimentare indicator led si filtru protectie</li>
 	<li>Cablu splitter distribuitor alimentare 2 iesiri tata</li>
 	<li>Cablu HDMI 1,5 metrii</li>
</ul>
&nbsp;
<h4>Detalii:</h4>
<ol>
 	<li>
<h4>Camera supraveghere exterior AHD 1080P full hd 30m IR carcasa metalica</h4>
</li>
</ol>
<img class=aligncenter src=https://rovision.ro/wp-content/uploads/2019/06/camera-supraveghere-exterior-ahd-1080p-full-hd-30m-ir-carcasa-metalica-0.jpg width=325 height=325 />
<div class=woocommerce-tabs wc-tabs-wrapper>
<div id=tab-description class=woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab role=tabpanel aria-labelledby=tab-title-description>

Camera supraveghere de exterior Weaterproof full hd <a href=https://rovision.ro/produs/camera-supraveghere-exterior-ahd-1080p-full-hd-30m-ir-carcasa-metalica/>ZAP30W-200</a>:
<ul>
 	<li>tehnologie AHD sensor 1/2.9″ ccd Aptina FH8536(V30E) AR0337</li>
 	<li>resolutie 1080P/2MP 1920×1080 Minima iluminare 0.01Lux transmisie distanta pana in 500 m lentila fixa</li>
 	<li>3 MP  carcasa metalica leduri 36 buc</li>
 	<li>distanta infrarosu 30 m senzor de prezenta balance de alb Backlight compensation  IR-Cut Filter</li>
 	<li>IP66 temperatura operare -20C 50C</li>
 	<li>alimentare 12V±10%, 600mA <strong>sursa de alimentare nu este inclusa</strong></li>
 	<li>Dimensiuni 82mmx251mm(L)</li>
 	<li>Greutate 461gr.</li>
</ul>
</div>
</div>
<section class=related products>
<h2></h2>
</section>
<h4>2. DVR Pentabrid Cooper Dahua XVR1A04 , 4 canale 1080N , HDCVI, AHD, TVI, CVBS, IP, 1080p lite</h4>
<img class=aligncenter src=https://rovision.ro/wp-content/uploads/2019/06/dvr-pentabrid-cooper-dahua-xvr1a04-4-canale-1080n-hdcvi-ahd-tvi-cvbs-ip-1080p-lite-1-600x267.jpg />

<a href=https://rovision.ro/produs/dvr-pentabrid-cooper-dahua-xvr1a04-4-canale-1080n-hdcvi-ahd-tvi-cvbs-ip-1080p-lite/>Dahua XVR1A04</a> este un DVR Pentabrid care inregistreaza 4 canale 1080N si suporta 5 standarde video. Compatibil cu toate tehnologiile de camere existente, inclusiv camerele IP (HDCVI / CVBS / AHD / HDTVI / IP). Suporta hard de pana la 6 TB (nu este inclus). Transmisie pe distante mari, cablu UTP sau coaxial: 800m@1080P, 1200m@720P.
<h4><strong>Caracteristici generale:</strong></h4>
<ul>
 	<li>Procesor incorporat</li>
 	<li>Compresie video dual-stream H.264</li>
 	<li>Suporta camere Analogice clasice + HDCVI+AHD+HDTVI+ IP</li>
 	<li>Maxim 1 canal IP de pana la 2 MP</li>
 	<li>Suporta 1 SATA HDD, pana la 6TB (<strong>nu este inclus</strong>)</li>
 	<li>Inregistreaza 1080N 4 canale si 720p</li>
 	<li>vizualizare pe internet cu aplicatiile gDMSS plus sau iDMSS plus (pentru Android, respectiv iPhone)</li>
 	<li>Compatibil ONVIF 16.12</li>
 	<li>Utilizatori simultani: 128</li>
 	<li>Alimentare: DC 12V/1.5A</li>
 	<li>Rezolutie inregistrare: 1080N, 720P, 960H, D1, HD1, BCIF, CIF, QCIF</li>
 	<li>Temperatura de functionare: -10 ~ +55 ℃</li>
 	<li>Iesire video HDMI/VGA</li>
 	<li>Consum: 10W</li>
 	<li>Dimensiune: 197mm x 192mm x 41mm</li>
 	<li>Format: Cooper 1U</li>
</ul>
<ul>
 	<li>Greutate: 0.55kg</li>
</ul>
Tipuri de camere suportate:

– Camere <strong>HDCVI  </strong> 1080P@25fps, 720P@25fps

– Camere <strong>AHD</strong>   1080P@25fps, 720P@25fps

– Camere <strong>TVI  </strong> 1080P@25fps, 720P@25fps

&nbsp;

&nbsp;

<em>Acest kit contine absolut toate componentele pentru a fi instalat, nu necesita mari cunostiinte in domeniu, cablurile vin gata mufate si sertizate, alimentatorul pentru camere vine impreuna cu un splitter cu 2 iesiri, iar cablu HDMI care de  asemenea este inclus in acest pachet face legatura intre DVR si monitor. La acest kit se mai pot adauga una sau chiar 2 camere daca mai este nevoie. <strong>HDD este optional</strong> daca aveti nevoie de capturi video. Soft telefon mobil, pc, laptop etc... foarte usor de configurat.</em>";Dahua;Kit supraveghere Video;Kit supraveghere 2 Camere;instock;https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-6.jpg;https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-5.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-4.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-3.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-2.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-1.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-0.jpg;https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-6.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-5.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-4.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-3.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-2.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-1.jpg,https://rovision.ro/wp-content/uploads/2019/06/sistem-supraveghere-video-profesional-exterior-2-camere-2mp-ahd-ir30m-cu-dvr-dahua-4-canale-live-internet-0.jpg
70424;201904000050;19;23,37;25,65;2,28;Microfon interior cu 3 conectori 2xRCA  DC suprafata 100 metri patrati;"<h2>Microfon interior cu 3 conectori 2xRCA  DC suprafata 100 metri patrati</h2>
<ul>
 	<li>AGC  Nosie Reduction Design</li>
 	<li>Aluminum Shell Range:100㎡ Audio Monitor</li>
 	<li>- Working voltage: DC9-12V</li>
 	<li>- Frequency range: 100-1000Hz</li>
 	<li>- Output impedance: 600Ω</li>
 	<li>- Current consumption: 10mA</li>
 	<li>- Frequency response: 2.5dB</li>
</ul>";Rovision;Accesorii Montaj CCTV;Microfon supraveghere;instock;https://rovision.ro/wp-content/uploads/2021/05/25929_microfon-interior-cu-3-conectori-2xrca-dc-suprafata-100-metri-patrati-0.jpg;https://rovision.ro/wp-content/uploads/2021/08/70517_44989_microfon-interior-cu-3-conectori-2xrca-dc-suprafata-100-metri-patrati.jpg;https://rovision.ro/wp-content/uploads/2021/05/25929_microfon-interior-cu-3-conectori-2xrca-dc-suprafata-100-metri-patrati-0.jpg,https://rovision.ro/wp-content/uploads/2021/08/70517_44989_microfon-interior-cu-3-conectori-2xrca-dc-suprafata-100-metri-patrati.jpg
